device-type,device-name,llm,quantization,calibration,BLEU,METEOR,BERTScore,tps
GPU,A5000,llama3.1,Q4_K_M,base,0.206346,0.5603549999999999,0.8488960000000002,52.09161269756436
GPU,A5000,llama3.3:70b,Q4_K_M,base,0.262889,0.6257059999999999,0.879954,10.143561328726726
GPU,A5000,llama3.1:70b,Q4_K_M,base,0.2545759999999999,0.606528,0.8743830000000001,10.861105185518554
GPU,A5000,qwen2:72b,Q4_K_M,base,0.241575,0.608767,0.8724180000000001,10.256634314424382
GPU,A100,llama3.1:latest,Q4_K_M,base,0.201274,0.5555410000000001,0.8472860000000001,81.69721009528261
GPU,A100,llama3.1:70b,Q4_K_M,base,0.250461,0.604116,0.8743960000000002,18.985955626072403
GPU,A100,qwen2.5:72b,Q4_K_M,base,0.271871,0.6292019999999999,0.8792570000000002,15.049937035818862
GPU,A5000,qwen2.5:72b,Q4_K_M,base,0.267229,0.6259589999999999,0.879688,8.98156693795115
NPU,RNGD,llama3.1,W8A8,base,0.206185,0.56682,0.8491070000000001,16.206533674324756
